1.0000,5.0192,0.5590,0.8167,0.4389,0.5002,0.4169
2.0000,4.9927,0.4944,0.7292,0.3778,0.4299,0.4867
3.0000,4.9708,0.4215,0.6500,0.2896,0.3267,0.5635
4.0000,4.9492,0.4139,0.6333,0.2868,0.3218,0.5725
5.0000,4.9289,0.3819,0.6000,0.2569,0.2861,0.6012
6.0000,4.9132,0.3708,0.5667,0.2271,0.2502,0.6326
7.0000,4.8990,0.3632,0.5583,0.2215,0.2442,0.6400
8.0000,4.8863,0.3521,0.5542,0.2139,0.2348,0.6477
9.0000,4.8754,0.3458,0.5167,0.1979,0.2160,0.6714
10.0000,4.8654,0.3424,0.4917,0.1868,0.2017,0.6883
11.0000,4.8562,0.3417,0.4750,0.1806,0.1942,0.6990
12.0000,4.8478,0.3396,0.4750,0.1812,0.1945,0.6990
13.0000,4.8400,0.3389,0.4583,0.1715,0.1831,0.7117
14.0000,4.8328,0.3368,0.4500,0.1653,0.1768,0.7182
15.0000,4.8260,0.3354,0.4375,0.1618,0.1721,0.7252
16.0000,4.8196,0.3319,0.4125,0.1576,0.1671,0.7377
17.0000,4.8136,0.3299,0.4083,0.1562,0.1654,0.7405
18.0000,4.8079,0.3264,0.3875,0.1486,0.1569,0.7542
19.0000,4.8025,0.3257,0.3875,0.1493,0.1577,0.7531
20.0000,4.7973,0.3236,0.3792,0.1479,0.1560,0.7573
21.0000,4.7924,0.3229,0.3792,0.1451,0.1527,0.7594
22.0000,4.7877,0.3208,0.3792,0.1444,0.1519,0.7606
23.0000,4.7832,0.3174,0.3708,0.1424,0.1494,0.7654
24.0000,4.7788,0.3167,0.3708,0.1431,0.1502,0.7647
25.0000,4.7746,0.3153,0.3667,0.1424,0.1494,0.7668
26.0000,4.7706,0.3153,0.3667,0.1417,0.1485,0.7672
27.0000,4.7667,0.3153,0.3667,0.1403,0.1469,0.7680
28.0000,4.7629,0.3125,0.3625,0.1382,0.1447,0.7708
29.0000,4.7593,0.3132,0.3667,0.1396,0.1464,0.7683
30.0000,4.7557,0.3118,0.3708,0.1396,0.1464,0.7669
31.0000,4.7523,0.3125,0.3667,0.1396,0.1464,0.7687
32.0000,4.7490,0.3125,0.3667,0.1389,0.1455,0.7694
33.0000,4.7457,0.3090,0.3708,0.1382,0.1450,0.7687
34.0000,4.7426,0.3090,0.3625,0.1361,0.1425,0.7732
35.0000,4.7395,0.3097,0.3542,0.1333,0.1395,0.7788
36.0000,4.7365,0.3083,0.3542,0.1333,0.1395,0.7788
37.0000,4.7336,0.3069,0.3500,0.1326,0.1386,0.7808
38.0000,4.7308,0.3069,0.3458,0.1319,0.1384,0.7824
39.0000,4.7280,0.3042,0.3458,0.1313,0.1376,0.7822
40.0000,4.7253,0.3035,0.3500,0.1313,0.1376,0.7808
41.0000,4.7226,0.3028,0.3500,0.1319,0.1384,0.7805
42.0000,4.7200,0.3028,0.3500,0.1313,0.1376,0.7808
43.0000,4.7175,0.3028,0.3542,0.1319,0.1384,0.7788
44.0000,4.7150,0.3021,0.3542,0.1319,0.1384,0.7788
45.0000,4.7125,0.3028,0.3542,0.1319,0.1384,0.7788
46.0000,4.7101,0.3028,0.3542,0.1313,0.1376,0.7794
47.0000,4.7078,0.3014,0.3542,0.1306,0.1368,0.7798
48.0000,4.7055,0.2993,0.3542,0.1299,0.1362,0.7799
49.0000,4.7032,0.2993,0.3542,0.1299,0.1362,0.7799
50.0000,4.7010,0.2972,0.3542,0.1306,0.1371,0.7792
51.0000,4.6988,0.2972,0.3583,0.1306,0.1371,0.7775
52.0000,4.6966,0.2958,0.3583,0.1306,0.1371,0.7775
53.0000,4.6945,0.2972,0.3583,0.1306,0.1371,0.7775
54.0000,4.6924,0.2979,0.3542,0.1292,0.1354,0.7803
55.0000,4.6904,0.2944,0.3542,0.1292,0.1354,0.7803
56.0000,4.6884,0.2931,0.3542,0.1292,0.1354,0.7803
57.0000,4.6864,0.2944,0.3542,0.1292,0.1354,0.7803
58.0000,4.6844,0.2931,0.3500,0.1285,0.1346,0.7824
59.0000,4.6825,0.2924,0.3500,0.1285,0.1346,0.7824
60.0000,4.6806,0.2931,0.3500,0.1285,0.1346,0.7824
