1.0000,4.1416,0.4764,0.8542,0.4826,0.5561,0.3797
2.0000,4.1203,0.5174,0.8458,0.4431,0.5145,0.4026
3.0000,4.1112,0.4514,0.7542,0.3806,0.4354,0.4700
4.0000,4.1046,0.4368,0.6958,0.3146,0.3617,0.5329
5.0000,4.1016,0.4118,0.6583,0.2965,0.3380,0.5531
6.0000,4.0991,0.3993,0.6167,0.2604,0.2959,0.5929
7.0000,4.0977,0.3896,0.6000,0.2500,0.2827,0.6060
8.0000,4.0963,0.3854,0.5792,0.2347,0.2639,0.6241
9.0000,4.0953,0.3771,0.5667,0.2264,0.2542,0.6343
10.0000,4.0944,0.3667,0.5417,0.2160,0.2409,0.6483
11.0000,4.0935,0.3639,0.5375,0.2083,0.2313,0.6549
12.0000,4.0928,0.3618,0.5292,0.2021,0.2232,0.6624
13.0000,4.0921,0.3562,0.5292,0.2014,0.2224,0.6634
14.0000,4.0915,0.3556,0.5083,0.1951,0.2149,0.6756
15.0000,4.0909,0.3521,0.5000,0.1882,0.2069,0.6838
16.0000,4.0904,0.3493,0.4833,0.1819,0.1994,0.6944
17.0000,4.0899,0.3444,0.4750,0.1806,0.1977,0.6976
18.0000,4.0894,0.3417,0.4750,0.1771,0.1935,0.6996
19.0000,4.0889,0.3389,0.4708,0.1764,0.1927,0.7015
20.0000,4.0885,0.3375,0.4667,0.1750,0.1910,0.7041
21.0000,4.0880,0.3389,0.4625,0.1729,0.1885,0.7069
22.0000,4.0876,0.3368,0.4625,0.1708,0.1860,0.7083
23.0000,4.0872,0.3333,0.4625,0.1694,0.1844,0.7096
24.0000,4.0869,0.3313,0.4417,0.1639,0.1782,0.7207
25.0000,4.0865,0.3306,0.4333,0.1618,0.1754,0.7254
26.0000,4.0862,0.3285,0.4292,0.1625,0.1759,0.7269
27.0000,4.0858,0.3313,0.4250,0.1611,0.1743,0.7297
28.0000,4.0855,0.3333,0.4250,0.1625,0.1756,0.7294
29.0000,4.0852,0.3306,0.4167,0.1618,0.1748,0.7332
30.0000,4.0848,0.3313,0.4167,0.1625,0.1756,0.7326
31.0000,4.0845,0.3319,0.4167,0.1625,0.1756,0.7335
32.0000,4.0842,0.3299,0.4167,0.1618,0.1748,0.7338
33.0000,4.0840,0.3292,0.4083,0.1604,0.1731,0.7380
34.0000,4.0837,0.3292,0.4125,0.1604,0.1731,0.7363
35.0000,4.0834,0.3306,0.4083,0.1590,0.1715,0.7395
36.0000,4.0831,0.3313,0.4083,0.1590,0.1715,0.7395
37.0000,4.0829,0.3306,0.4083,0.1611,0.1736,0.7388
38.0000,4.0826,0.3319,0.4000,0.1583,0.1706,0.7435
39.0000,4.0823,0.3326,0.3958,0.1597,0.1717,0.7445
40.0000,4.0821,0.3306,0.4000,0.1611,0.1733,0.7422
41.0000,4.0819,0.3333,0.4000,0.1618,0.1742,0.7420
42.0000,4.0816,0.3340,0.4000,0.1611,0.1733,0.7427
43.0000,4.0814,0.3354,0.3958,0.1590,0.1708,0.7456
44.0000,4.0812,0.3389,0.3917,0.1583,0.1700,0.7477
45.0000,4.0809,0.3382,0.3917,0.1590,0.1708,0.7476
46.0000,4.0807,0.3396,0.3917,0.1590,0.1708,0.7476
47.0000,4.0805,0.3396,0.3875,0.1583,0.1700,0.7500
48.0000,4.0803,0.3389,0.3875,0.1583,0.1700,0.7500
49.0000,4.0801,0.3396,0.3833,0.1583,0.1697,0.7519
50.0000,4.0798,0.3382,0.3875,0.1576,0.1689,0.7503
51.0000,4.0796,0.3410,0.3875,0.1576,0.1689,0.7503
52.0000,4.0794,0.3417,0.3875,0.1576,0.1689,0.7503
53.0000,4.0792,0.3410,0.3875,0.1583,0.1697,0.7497
54.0000,4.0790,0.3417,0.3875,0.1583,0.1697,0.7497
55.0000,4.0789,0.3403,0.3792,0.1569,0.1680,0.7538
56.0000,4.0787,0.3410,0.3792,0.1576,0.1689,0.7531
57.0000,4.0785,0.3396,0.3792,0.1590,0.1702,0.7523
